naics_code,description,loan_count,total_approval,avg_loan,charge_off_pct,yoy_growth,top_state,top_lender
722511,Full-Service Restaurants,16355,8627759300,527530.38,1.21,8.73,CA,The Huntington National Bank
722513,Limited-Service Restaurants,11949,5646205500,472525.36,1.27,15.1,CA,The Huntington National Bank
236118,Residential Remodelers,7351,1351442500,183844.72,2.38,5.94,OH,The Huntington National Bank
713940,Fitness and Recreational Sports Centers,6770,2764934600,408409.84,1.39,25.45,TX,The Huntington National Bank
484121,"General Freight Trucking, Long Distance, Truckload",6764,1401579000,207211.56,3.42,-12.87,OH,The Huntington National Bank
238220,"Plumbing, Heating, and Air-Conditioning Contractors",6128,2682743200,437784.46,1.32,3.61,CA,The Huntington National Bank
561730,Landscaping Services,5962,1809285900,303469.62,1.22,-4.23,OH,The Huntington National Bank
238990,All Other Specialty Trade Contractors,5857,2807869900,479404.11,0.87,4.65,CA,The Huntington National Bank
484110,"General Freight Trucking, Local",5639,1526707200,270740.77,3.55,-12.6,CA,The Huntington National Bank
811111,General Automotive Repair,5413,2584013400,477371.77,1,26.93,CA,The Huntington National Bank
721110,Hotels (except Casino Hotels) and Motels,5191,12903519200,2485748.26,0.1,17.18,TX,GBank
624410,Child Day Care Services,5081,4100296900,806986.2,0.51,17.44,TX,The Huntington National Bank
722515,Snack and Nonalcoholic Beverage Bars,5080,1929641700,379850.73,0.98,28.35,CA,The Huntington National Bank
812112,Beauty Salons,5033,1047532400,208132.8,1.55,8.66,CA,The Huntington National Bank
524210,Insurance Agencies and Brokerages,4249,2029663100,477680.18,1.06,20.45,TX,Live Oak Banking Company
238210,Electrical Contractors,4137,1633514000,394854.73,1.28,14.16,CA,The Huntington National Bank
621210,Offices of Dentists,4070,3704416100,910175.95,0.27,16.86,CA,Live Oak Banking Company
621111,Offices of Physicians (except Mental Health Specialists),3986,2398236900,601665.05,0.68,11.04,CA,The Huntington National Bank
812199,Other Personal Care Services,3617,1283398100,354823.91,1.22,4.96,CA,The Huntington National Bank
621610,Home Health Care Services,3156,1528398200,484283.33,1.46,40.8,CA,The Huntington National Bank
541110,Offices of Lawyers,3121,1094459900,350676.03,1.12,-2.67,CA,The Huntington National Bank
621310,Offices of Chiropractors,2994,800803200,267469.34,1,12.91,FL,The Huntington National Bank
541990,"All Other Professional, Scientific, and Technical Services",2981,1346947000,451844.01,1.11,23.56,CA,The Huntington National Bank
561720,Janitorial Services,2945,765944600,260083.06,2.24,19.14,FL,The Huntington National Bank
812910,Pet Care (except Veterinary) Services,2865,1408814000,491732.64,0.7,11.11,TX,The Huntington National Bank
812990,All Other Personal Services,2781,926551800,333172.17,1.47,28.17,CA,The Huntington National Bank
541611,Administrative Management and General Management Consulting Services,2545,640300600,251591.59,2.55,30.33,CA,"Newtek Bank, National Association"
621399,Offices of All Other Miscellaneous Health Practitioners,2481,855318800,344747.6,0.77,14.48,CA,The Huntington National Bank
713990,All Other Amusement and Recreation Industries,2402,1646657100,685535.85,0.79,34.84,TX,The Huntington National Bank
445320,,2338,1888535100,807756.67,0.3,19.94,CA,Hanmi Bank
445110,Supermarkets and Other Grocery (except Convenience) Stores,2323,1803040400,776168.92,1.33,9.16,CA,The Huntington National Bank
236115,New Single-Family Housing Construction (except Operative Builders),2280,739360800,324281.05,1.84,46.31,CA,Northeast Bank
236220,Commercial and Institutional Building Construction,2259,954656600,422601.42,1.28,23.7,CA,"JPMorgan Chase Bank, National Association"
457110,,2136,3504104700,1640498.46,0.28,19.31,TX,Celtic Bank Corporation
621330,Offices of Mental Health Practitioners (except Physicians),2130,531129100,249356.38,0.47,6.31,FL,The Huntington National Bank
722410,Drinking Places (Alcoholic Beverages),2107,976372200,463394.49,0.81,-3.69,CA,The Huntington National Bank
